awardYear,sortOrder,portion,dateAwarded,prizeStatus,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,motivation.en,motivation.se,prizes.links.rel,prizes.links.href,prizes.links.action,prizes.links.types,id,motivation.no,topMotivation.en,topMotivation.se
1921,1,1,NA,received,121573,2578698,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament","såsom ett erkännande av hans lysande författarverksamhet, präglad av ädel stilkonst, av vidhjärtad humanitet, av behag och franskt lynne",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1921,Get,application/json,590,NA,NA,NA
1956,1,1/3,NA,received,200123,2748452,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,för deras upptäckter rörande hjärtkateterisering och sjukliga förändringar i cirkulationsapparaten,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1956,Get,application/json,360,NA,NA,NA
2010,1,1/2,2010-10-05,received,10000000,11015580,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for groundbreaking experiments regarding the two-dimensional material graphene,för banbrytande experiment rörande det tvådimensionella materialet grafen,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2010,Get,application/json,849,NA,NA,NA
1947,1,1,NA,received,146115,2967378,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight","för hans vittomfattande och konstnärligt betydelsefulla författarskap, i vilket mänsklighetens frågor och villkor ha framställts med oförskräckt sanningskärlek och psykologisk skarpsyn",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1947,Get,application/json,618,NA,NA,NA
1965,2,1/3,NA,received,282000,2833358,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning genetic control of enzyme and virus synthesis,för deras upptäckter rörande genetisk styrning av enzym - och virussyntes,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1965,Get,application/json,381,NA,NA,NA
2020,3,1/4,2020-10-06,received,10000000,10000000,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the discovery of a supermassive compact object at the centre of our galaxy,för upptäckten av ett supermassivt kompakt objekt i Vintergatans centrum,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2020,Get,application/json,990,NA,NA,NA
1975,1,1,1975-10-09,received,630000,3465908,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1975,Get,application/json,534,"for sin kamp for menneskerettighetene i Sovjetunionen, nedrustning og samarbeid mellom alle nasjoner",NA,NA
1963,3,1/3,NA,received,265000,2890771,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,för deras upptäckter rörande jonmekanismerna vid retning och hämning i nervcellernas perifera och centrala membranavsnitt,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1963,Get,application/json,377,NA,NA,NA
1977,2,1/4,NA,received,700000,3136854,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the peptide hormone production of the brain,för deras upptäckter rörande hjärnans produktion av peptidhormoner,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1977,Get,application/json,412,NA,NA,NA
2006,1,1/2,2006-10-02,received,10000000,11762169,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discovery of RNA interference - gene silencing by double-stranded RNA,för deras upptäckt av RNA-interferens – utsläckning av geners uttryck med dubbelsträngat RNA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/2006,Get,application/json,802,NA,NA,NA
2015,1,1,2015-10-12,received,8000000,8536613,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,"for his analysis of consumption, poverty, and welfare","för hans analys av konsumtion, fattigdom och välfärd",nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/2015,Get,application/json,926,NA,NA,NA
2003,3,1/3,2003-10-07,received,10000000,12021411,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for pioneering contributions to the theory of superconductors and superfluids,för banbrytande insatser inom teorin för supraledare och supravätskor,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2003,Get,application/json,768,NA,NA,NA
1974,2,1/2,1974-10-15,received,550000,3322627,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars","för deras banbrytande arbeten inom radioastrofysiken: Ryle för hans observationer och uppfinningar, särskilt apertursyntestekniken, och Hewish för hans avgörande insatser vid upptäckten av pulsarerna",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1974,Get,application/json,101,NA,NA,NA
1978,1,1/2,1978-10-27,received,725000,2951013,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for jointly having negotiated peace between Egypt and Israel in 1978,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1978,Get,application/json,538,for i felleskap å ha forhandlet frem fred mellom Egypt og Israel i 1978,NA,NA
1952,1,1/2,NA,received,171135,2592831,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their invention of partition chromatography,för deras uppfinning av fördelningskromatografien,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1952,Get,application/json,214,NA,NA,NA
1922,1,1/2,NA,received,122483,3203014,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for his discovery relating to the production of heat in the muscle,för hans upptäckt rörande värmetoningen i muskeln,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1922,Get,application/json,311,NA,NA,NA
2013,3,1/3,2013-10-09,received,8000000,8517568,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the development of multiscale models for complex chemical systems,för utvecklandet av flerskalemodeller för komplexa kemiska system,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2013,Get,application/json,891,NA,NA,NA
1926,1,1/2,1926-12-10,received,116960,3332487,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for their crucial role in bringing about the Locarno Treaty,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1926,Get,application/json,490,for deres avgjørende rolle i arbeidet med Locarnotraktaten,NA,NA
1948,1,1,NA,received,159773,3112313,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins","för hans elektroforetiska och adsorptionsanalytiska arbeten, särskilt hans upptäckter rörande serumproteiners sammansatta natur",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1948,Get,application/json,208,NA,NA,NA
1978,2,1/4,1978-10-17,received,725000,2951013,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for their discovery of cosmic microwave background radiation,för deras upptäckt av den kosmiska bakgrunden av mikrovågor,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1978,Get,application/json,111,NA,NA,NA
2018,1,1/2,2018-10-02,received,9000000,9163200,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the optical tweezers and their application to biological systems,för den optiska pincetten och dess tillämpning på biologiska system,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2018,Get,application/json,960,NA,for groundbreaking inventions in the field of laser physics,för banbrytande uppfinningar inom laserfysik
2015,2,1/2,2015-10-06,received,8000000,8536613,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for the discovery of neutrino oscillations, which shows that neutrinos have mass","för upptäckten av neutrinooscillationer, som visar att neutriner har massa",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2015,Get,application/json,920,NA,NA,NA
1927,1,1/2,NA,received,126501,3658946,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for his discovery of the effect named after him,för hans upptäckt av den efter honom benämnda effekten,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1927,Get,application/json,33,NA,NA,NA
1929,1,1/2,NA,received,172760,4996952,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their investigations on the fermentation of sugar and fermentative enzymes,för deras undersökningar av sockerarters jäsning och därvid verksamma enzym,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1929,Get,application/json,186,NA,NA,NA
1934,1,1,1934-12-10,received,162608,5261333,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1934,Get,application/json,499,for sin uavlatelige kamp og modige innsats som formann for Folkeforbundets nedrustningskonferanse fra 1931-34,NA,NA
1959,2,1/2,NA,received,220678,2753427,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,för deras upptäckter av mekanismen vid den biologiska syntesen av ribonukleinsyra och deoxiribonukleinsyra,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1959,Get,application/json,368,NA,NA,NA
1981,2,1/4,1981-10-19,received,1000000,2982813,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for their contribution to the development of laser spectroscopy,för deras bidrag till utvecklingen av laserspektroskopien,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1981,Get,application/json,119,NA,NA,NA
1945,1,1,NA,received,121333,2545326,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method","för hans undersökningar och uppfinningar inom agrikultur- och näringskemien, särskilt för hans foderkonserveringsmetod",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1945,Get,application/json,203,NA,NA,NA
2000,1,1/3,2000-10-09,received,9000000,11538617,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning signal transduction in the nervous system,för deras upptäckter rörande signalöverföring i nervsystemet,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/2000,Get,application/json,722,NA,NA,NA
1920,1,1,NA,received,134100,2438066,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for his discovery of the capillary motor regulating mechanism,för hans upptäckt av den kapillärmotoriska regulationsmekanismen,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1920,Get,application/json,310,NA,NA,NA
1909,1,1/2,1909-12-10,received,139800,7212924,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for their prominent position in the international movement for peace and arbitration,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1909,Get,application/json,475,for deres fremstående rolle i den internasjonale freds- og voldgiftsbevegelsen,NA,NA
1991,1,1,1991-10-14,received,6000000,8831149,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for her non-violent struggle for democracy and human rights,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1991,Get,application/json,553,for sin ikke-voldelige kamp for demokrati og menneskerettigheter,NA,NA
2004,2,1/3,2004-10-06,received,10000000,11976161,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the discovery of ubiquitin-mediated protein degradation,för upptäckten av ubiquitinmedierad proteinnedbrytning,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2004,Get,application/json,780,NA,NA,NA
2015,3,1/3,2015-10-07,received,8000000,8536613,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for mechanistic studies of DNA repair,för mekanistiska studier av DNA-reparation,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2015,Get,application/json,923,NA,NA,NA
2009,1,1,2009-10-09,received,10000000,11157218,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/2009,Get,application/json,845,for hans ekstraordinære innsats for å styrke internasjonalt diplomati og mellomfolkelig samarbeid,NA,NA
1983,1,1,NA,received,1500000,3782695,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for her discovery of mobile genetic elements,för hennes upptäckt av rörliga strukturer i arvsmassan,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1983,Get,application/json,428,NA,NA,NA
2017,2,1/4,2017-10-03,received,9000000,9342577,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for decisive contributions to the LIGO detector and the observation of gravitational waves,för avgörande bidrag till LIGO-detektorn och observationen av gravitationsvågor,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2017,Get,application/json,942,NA,NA,NA
2005,1,1/2,2005-10-03,received,10000000,11923798,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,för deras upptäckt av bakterien Helicobacter pylori och dess roll vid gastrit och ulcussjukdom,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/2005,Get,application/json,789,NA,NA,NA
2001,3,1/2,2001-10-10,received,10000000,12518033,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his work on chirally catalysed oxidation reactions,för hans arbeten över kiralt katalyserade oxidationsreaktioner,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2001,Get,application/json,743,NA,NA,NA
1976,1,1/2,1976-10-14,received,681000,3403217,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,för deras upptäckter av nya mekanismer för infektionssjukdomars uppkomst och spridning,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1976,Get,application/json,409,NA,NA,NA
1980,1,1/3,1980-10-10,received,880000,2942067,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,för deras upptäckter rörande genetiskt bestämda cellulära ytstrukturer som styr immunologiska reaktioner,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1980,Get,application/json,419,NA,NA,NA
1975,2,1/3,1975-10-17,received,630000,3465908,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,"för upptäckten av sambandet mellan kollektiva rörelser och partikelrörelser i atomkärnor, samt den därpå baserade utvecklingen av teorien för atomkärnans struktur",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1975,Get,application/json,103,NA,NA,NA
2016,2,1/2,2016-10-10,received,8000000,8451577,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their contributions to contract theory,för deras bidrag till kontraktsteorin,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/2016,Get,application/json,936,NA,NA,NA
1982,2,1/3,1982-10-11,received,1150000,3158777,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning prostaglandins and related biologically active substances,för deras upptäckter rörande prostaglandiner och närbesläktade biologiskt aktiva substanser,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1982,Get,application/json,426,NA,NA,NA
2016,3,1/3,2016-10-05,received,8000000,8451577,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the design and synthesis of molecular machines,för design och syntes av molekylära maskiner,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2016,Get,application/json,933,NA,NA,NA
1947,3,1/2,NA,received,146115,2967378,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,för hans upptäckt av hypofysframlobshormonets betydelse för sockeromsättningen,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1947,Get,application/json,345,NA,NA,NA
1991,2,1/2,NA,received,6000000,8831149,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the function of single ion channels in cells,för deras upptäckter rörande enskilda cellulära jonkanalers funktion,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1991,Get,application/json,445,NA,NA,NA
1905,1,1,1905-12-10,received,138089,7753291,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for her audacity to oppose the horrors of war,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1905,Get,application/json,468,for sin modige kamp mot krigens grusomheter,NA,NA
1977,1,1/2,1977-10-14,received,700000,3136854,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their pathbreaking contribution to the theory of international trade and international capital movements,för deras banbrytande arbeten inom teorin för internationell handel och internationella kapitalrörelser,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/1977,Get,application/json,689,NA,NA,NA
1994,1,1/2,1994-10-12,received,7000000,9417195,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the development of neutron spectroscopy,för utveckling av neutronspektroskopin,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1994,Get,application/json,145,NA,for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter,NA
1950,1,1,NA,received,164304,3105508,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,"som ett erkännande åt hans mångsidiga och betydelsefulla författarskap, vari han framträtt som en humanitetens och tankefrihetens förkämpe",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1950,Get,application/json,621,NA,NA,NA
